@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
459,'2023/06/12 00:09:09:964',10,344.941559,4844.220703,8447.144531,0,1,0,0,0
460,'2023/06/12 00:09:10:225',10,344.808655,4880.765137,8449.755859,0,1,0,0,0
461,'2023/06/12 00:09:10:481',10,341.566193,4878.573242,8431.802734,0,1,0,0,0
462,'2023/06/12 00:09:10:732',10,342.089172,4907.522949,8445.776367,0,1,0,0,0
463,'2023/06/12 00:09:10:993',10,345.481934,4979.715332,8463.106445,0,1,0,0,0
464,'2023/06/12 00:09:11:249',10,341.730408,5008.924316,8473.749023,0,1,0,0,0
465,'2023/06/12 00:09:11:505',10,342.279968,5038.887207,8477.887695,0,1,0,0,0
466,'2023/06/12 00:09:11:676',10,342.393311,5095.088867,8500.604492,0,1,0,0,0
467,'2023/06/12 00:09:11:927',10,344.648743,5155.268555,8505.600586,0,1,0,0,0
468,'2023/06/12 00:09:12:183',10,347.760742,5232.317871,8513.256836,0,1,0,0,0
469,'2023/06/12 00:09:12:454',10,350.551941,5307.661621,8521.572266,0,1,0,0,0
470,'2023/06/12 00:09:12:700',10,353.782196,5381.020508,8528.31543,0,1,0,0,0
471,'2023/06/12 00:09:12:956',10,354.330475,5424.834961,8544.621094,0,1,0,0,0
472,'2023/06/12 00:09:13:212',10,352.919739,5458.895996,8565.138672,0,1,0,0,0
473,'2023/06/12 00:09:21:494',11,366.813293,5579.091309,8367.308594,0,0,1,0,0
474,'2023/06/12 00:09:21:745',11,356.023865,5513.530273,8358.025391,0,0,1,0,0
475,'2023/06/12 00:09:21:996',11,356.023926,5513.530273,8358.025391,0,0,1,0,0
476,'2023/06/12 00:09:22:262',11,348.239044,5478.676758,8364.611328,0,0,1,0,0
477,'2023/06/12 00:09:22:428',11,335.917694,5451.574707,8372.105469,0,0,1,0,0
478,'2023/06/12 00:09:22:684',11,335.917694,5451.574707,8372.105469,0,0,1,0,0
479,'2023/06/12 00:09:22:940',11,335.917694,5451.574707,8372.105469,0,0,1,0,0
480,'2023/06/12 00:09:23:196',11,332.248413,5424.688965,8379.422852,0,0,1,0,0
481,'2023/06/12 00:09:23:457',11,318.622192,5449.242676,8403.586914,0,0,1,0,0
482,'2023/06/12 00:09:23:713',11,315.435974,5476.442871,8410.387695,0,0,1,0,0
483,'2023/06/12 00:09:23:964',11,300.232025,5496.367188,8415.082031,0,0,1,0,0
484,'2023/06/12 00:09:24:220',11,287.283722,5530.473633,8417.80957,0,0,1,0,0
485,'2023/06/12 00:09:24:476',11,284.439331,5529.629883,8415.145508,0,0,1,0,0
486,'2023/06/12 00:09:24:732',11,274.779297,5471.60791,8409.90918,0,0,1,0,0
487,'2023/06/12 00:09:24:983',11,274.779297,5471.60791,8409.90918,0,0,1,0,0
488,'2023/06/12 00:09:25:244',11,274.779297,5471.60791,8409.90918,0,0,1,0,0
489,'2023/06/12 00:09:25:500',11,276.528229,5553.494629,8412.391602,0,0,1,0,0
490,'2023/06/12 00:09:25:761',11,263.905182,5495.629883,8389.244141,0,0,1,0,0
491,'2023/06/12 00:09:25:931',11,258.477142,5441.379883,8383.898438,0,0,1,0,0
492,'2023/06/12 00:09:26:182',11,260.48642,5524.815918,8378.883789,0,0,1,0,0
493,'2023/06/12 00:09:26:443',11,260.48642,5584.222656,8378.883789,0,0,1,0,0
494,'2023/06/12 00:09:26:694',11,260.48642,5644.92041,8378.883789,0,0,1,0,0
495,'2023/06/12 00:09:26:945',11,258.372955,5659.304199,8377.228516,0,0,1,0,0
496,'2023/06/12 00:09:27:206',11,258.372955,5722.185547,8377.228516,0,0,1,0,0
497,'2023/06/12 00:09:27:462',11,255.839905,5756.732422,8371.354492,0,0,1,0,0
498,'2023/06/12 00:09:27:718',11,255.839905,5822.149414,8397.491211,0,0,1,0,0
499,'2023/06/12 00:09:27:974',11,255.839905,5889.070313,8397.491211,0,0,1,0,0
500,'2023/06/12 00:09:28:230',11,255.83989,5911.323242,8366.389648,0,0,1,0,0
501,'2023/06/12 00:09:28:491',11,253.788025,5938.006836,8354.673828,0,0,1,0,0
502,'2023/06/12 00:09:28:752',11,253.788025,6008.697266,8347.000977,0,0,1,0,0
503,'2023/06/12 00:09:28:993',11,253.78801,6081.091309,8347.000977,0,0,1,0,0
504,'2023/06/12 00:09:29:254',11,253.78801,6081.091309,8347.000977,0,0,1,0,0
505,'2023/06/12 00:09:29:425',11,253.78801,6081.091309,8347.000977,0,0,1,0,0
506,'2023/06/12 00:09:29:681',11,239.293671,6002.777344,8319.700195,0,0,1,0,0
507,'2023/06/12 00:09:29:942',11,239.293671,6002.777344,8369.927734,0,0,1,0,0
508,'2023/06/12 00:09:30:193',11,241.012711,6070.153809,8393.875,0,0,1,0,0
509,'2023/06/12 00:09:30:449',11,241.012711,6070.153809,8410.051758,0,0,1,0,0
510,'2023/06/12 00:09:30:705',11,242.544373,6085.418945,8397.365234,0,0,1,0,0
511,'2023/06/12 00:09:30:961',11,244.945801,6067.755371,8422.950195,0,0,1,0,0
512,'2023/06/12 00:09:31:217',11,244.945801,6067.755371,8440.224609,0,0,1,0,0
513,'2023/06/12 00:09:31:468',11,244.945801,6067.755371,8459.401367,0,0,1,0,0
514,'2023/06/12 00:09:31:724',11,242.138977,5984.611328,8455.132813,0,0,1,0,0
515,'2023/06/12 00:09:31:980',11,239.840775,5898.284668,8427.452148,0,0,1,0,0
516,'2023/06/12 00:09:32:241',11,236.343658,5816.217285,8422.645508,0,0,1,0,0
517,'2023/06/12 00:09:32:497',11,235.782913,5809.157227,8418.664063,0,0,1,0,0
518,'2023/06/12 00:09:32:753',11,233.032471,5723.756836,8414.578125,0,0,1,0,0
519,'2023/06/12 00:09:32:924',11,230.090424,5642.656738,8394.470703,0,0,1,0,0
520,'2023/06/12 00:09:33:185',11,228.114059,5562.961914,8390.460938,0,0,1,0,0
521,'2023/06/12 00:09:51:189',12,116.291489,3409.058838,7938.265625,0,0,0,1,0
522,'2023/06/12 00:09:51:445',12,118.108551,3501.710938,7938.265625,0,0,0,1,0
523,'2023/06/12 00:09:51:701',12,124.485962,3518.427734,7964.573242,0,0,0,1,0
524,'2023/06/12 00:09:51:952',12,132.078781,3595.208984,7987.971191,0,0,0,1,0
525,'2023/06/12 00:09:52:208',12,139.523987,3677.246582,8008.316406,0,0,0,1,0
526,'2023/06/12 00:09:52:475',12,146.611588,3753.084717,8021.613281,0,0,0,1,0
527,'2023/06/12 00:09:52:720',12,136.68129,3761.087891,8023.90918,0,0,0,1,0
528,'2023/06/12 00:09:52:982',12,122.379623,3773.312988,8034.929688,0,0,0,1,0
529,'2023/06/12 00:09:53:237',12,127.633194,3799.16626,8054.539063,0,0,0,1,0
530,'2023/06/12 00:09:53:493',12,120.57589,3809.623535,8064.589355,0,0,0,1,0
531,'2023/06/12 00:09:53:749',12,126.666595,3901.193359,8090.06543,0,0,0,1,0
532,'2023/06/12 00:09:54:000',12,132.548126,3975.093018,8096.602539,0,0,0,1,0
533,'2023/06/12 00:09:54:251',12,137.885651,4054.280029,8108.008789,0,0,0,1,0
534,'2023/06/12 00:09:54:427',12,144.57048,4126.260254,8117.427246,0,0,0,1,0
535,'2023/06/12 00:09:54:688',12,151.410095,4176.855469,8123.184082,0,0,0,1,0
536,'2023/06/12 00:09:54:944',12,159.014313,4235.477539,8139.617188,0,0,0,1,0
537,'2023/06/12 00:09:55:200',12,166.988571,4291.733398,8153.635742,0,0,0,1,0
538,'2023/06/12 00:09:55:451',12,171.492447,4269.444336,8150.906738,0,0,0,1,0
539,'2023/06/12 00:09:55:712',12,177.994308,4333.999023,8154.651855,0,0,0,1,0
540,'2023/06/12 00:09:55:963',12,183.64537,4397.07959,8165.840332,0,0,0,1,0
541,'2023/06/12 00:09:56:214',12,186.965591,4374.454102,8174.523438,0,0,0,1,0
542,'2023/06/12 00:09:56:475',12,194.116272,4418.817383,8181.091797,0,0,0,1,0
543,'2023/06/12 00:09:56:731',12,201.756851,4470.589844,8190.406738,0,0,0,1,0
544,'2023/06/12 00:09:56:982',12,209.806015,4471.878906,8201.413086,0,0,0,1,0
545,'2023/06/12 00:09:57:243',12,216.487183,4487.968262,8212.805664,0,0,0,1,0
546,'2023/06/12 00:09:57:499',12,220.355728,4445.922363,8216.90332,0,0,0,1,0
547,'2023/06/12 00:09:57:760',12,228.185898,4453.662109,8236.651367,0,0,0,1,0
548,'2023/06/12 00:09:57:925',12,235.824997,4462.354492,8246.414063,0,0,0,1,0
549,'2023/06/12 00:09:58:181',12,241.452011,4408.214355,8256.618164,0,0,0,1,0
550,'2023/06/12 00:09:58:442',12,250.03746,4404.638672,8262.754883,0,0,0,1,0
551,'2023/06/12 00:09:58:693',12,257.338043,4415.581055,8265.894531,0,0,0,1,0
552,'2023/06/12 00:09:58:949',12,266.23584,4428.430664,8274.295898,0,0,0,1,0
553,'2023/06/12 00:09:59:205',12,274.409851,4440.767578,8281.142578,0,0,0,1,0
554,'2023/06/12 00:09:59:461',12,281.992523,4454.258301,8301.420898,0,0,0,1,0
555,'2023/06/12 00:09:59:722',12,291.673737,4461.712891,8312.842773,0,0,0,1,0
556,'2023/06/12 00:09:59:978',12,299.87616,4480.685059,8321.619141,0,0,0,1,0
557,'2023/06/12 00:10:00:240',12,307.258881,4497.729004,8350.882813,0,0,0,1,0
558,'2023/06/12 00:10:00:485',12,314.936188,4511.186523,8359.507813,0,0,0,1,0
559,'2023/06/12 00:10:00:741',12,321.360107,4523.575684,8372.68457,0,0,0,1,0
560,'2023/06/12 00:10:00:997',12,327.72757,4531.539063,8388.416016,0,0,0,1,0
561,'2023/06/12 00:10:01:248',12,334.168457,4534.120605,8400.847656,0,0,0,1,0
562,'2023/06/12 00:10:01:424',12,340.447083,4538.310059,8408.450195,0,0,0,1,0
563,'2023/06/12 00:10:01:680',12,346.704437,4533.100586,8412.951172,0,0,0,1,0
564,'2023/06/12 00:10:01:931',12,352.81192,4520.305664,8415.543945,0,0,0,1,0
565,'2023/06/12 00:10:02:187',12,355.802795,4499.709473,8420.544922,0,0,0,1,0
566,'2023/06/12 00:10:02:448',12,361.542938,4492.020508,8431.861328,0,0,0,1,0
567,'2023/06/12 00:10:02:704',12,363.806671,4463.250977,8436.591797,0,0,0,1,0
568,'2023/06/12 00:10:02:960',12,363.882019,4456.054199,8444.626953,0,0,0,1,0
569,'2023/06/12 00:10:03:216',12,369.448425,4447.553223,8445.391602,0,0,0,1,0
570,'2023/06/12 00:10:03:477',12,369.448425,4405.595215,8445.391602,0,0,0,1,0
571,'2023/06/12 00:10:03:728',12,375.002197,4445.578613,8454.22168,0,0,0,1,0
572,'2023/06/12 00:10:03:989',12,380.34613,4437.999023,8468.999023,0,0,0,1,0
573,'2023/06/12 00:10:04:240',12,385.934906,4428.068359,8463.980469,0,0,0,1,0
574,'2023/06/12 00:10:04:501',12,388.468231,4400.574219,8459.058594,0,0,0,1,0
575,'2023/06/12 00:10:04:752',12,394.187775,4395.97168,8459.058594,0,0,0,1,0
576,'2023/06/12 00:10:04:922',12,394.187775,4395.97168,8470.248047,0,0,0,1,0
577,'2023/06/12 00:10:05:178',12,399.379425,4400.422363,8473.94043,0,0,0,1,0
578,'2023/06/12 00:10:05:435',12,405.085754,4416.34082,8502.841797,0,0,0,1,0
579,'2023/06/12 00:10:17:722',13,813.249023,4497.428223,8494.882813,0,0,0,0,1
580,'2023/06/12 00:10:17:973',13,821.38147,4491.267578,8515.695313,0,0,0,0,1
581,'2023/06/12 00:10:18:234',13,816.159729,4505.554688,8519.978516,0,0,0,0,1
582,'2023/06/12 00:10:18:490',13,811.030396,4488.196289,8487.530273,0,0,0,0,1
583,'2023/06/12 00:10:18:746',13,806.291138,4435.239258,8475.330078,0,0,0,0,1
584,'2023/06/12 00:10:19:007',13,798.538208,4416.640625,8463.016602,0,0,0,0,1
585,'2023/06/12 00:10:19:173',13,801.718018,4437.05127,8471.396484,0,0,0,0,1
586,'2023/06/12 00:10:19:429',13,797.029663,4461.752441,8479.885742,0,0,0,0,1
587,'2023/06/12 00:10:19:685',13,792.341675,4468.467285,8486.855469,0,0,0,0,1
588,'2023/06/12 00:10:19:946',13,787.80481,4477.985352,8480.232422,0,0,0,0,1
589,'2023/06/12 00:10:20:197',13,780.510315,4496.070313,8490.750977,0,0,0,0,1
590,'2023/06/12 00:10:20:458',13,776.312744,4473.833496,8479.514648,0,0,0,0,1
591,'2023/06/12 00:10:20:709',13,769.25531,4440.424805,8476.945313,0,0,0,0,1
592,'2023/06/12 00:10:20:965',13,766.917236,4441.306152,8507.295898,0,0,0,0,1
593,'2023/06/12 00:10:21:226',13,769.691528,4440.962891,8514.572266,0,0,0,0,1
594,'2023/06/12 00:10:21:482',13,765.45343,4458.105957,8523.313477,0,0,0,0,1
595,'2023/06/12 00:10:21:733',13,761.257263,4465.40332,8520.931641,0,0,0,0,1
596,'2023/06/12 00:10:21:989',13,757.116882,4454.08252,8521.487305,0,0,0,0,1
597,'2023/06/12 00:10:22:245',13,753.001099,4461.760742,8525.106445,0,0,0,0,1
598,'2023/06/12 00:10:22:501',13,755.667419,4451.614258,8564.258789,0,0,0,0,1
599,'2023/06/12 00:10:22:671',13,749.096375,4465.770996,8565.518555,0,0,0,0,1
600,'2023/06/12 00:10:22:927',13,744.926208,4438.052734,8532.261719,0,0,0,0,1
601,'2023/06/12 00:10:23:194',13,744.926147,4438.052734,8545.271484,0,0,0,0,1
602,'2023/06/12 00:10:23:445',13,741.089417,4407.438965,8537.334961,0,0,0,0,1
603,'2023/06/12 00:10:23:695',13,739.183655,4380.375488,8519.305664,0,0,0,0,1
604,'2023/06/12 00:10:23:951',13,741.301331,4361.391113,8507.650391,0,0,0,0,1
605,'2023/06/12 00:10:24:207',13,739.69812,4329.759277,8487.520508,0,0,0,0,1
606,'2023/06/12 00:10:24:463',13,738.529846,4300.801758,8475.431641,0,0,0,0,1
607,'2023/06/12 00:10:24:725',13,736.669128,4290.737793,8462.648438,0,0,0,0,1
608,'2023/06/12 00:10:24:980',13,735.434387,4285.104004,8443.560547,0,0,0,0,1
609,'2023/06/12 00:10:25:236',13,734.062317,4266.441406,8426.645508,0,0,0,0,1
