@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
7364,'2023/06/12 23:32:16:348',11,0,0,0,0,0,0,1,0,0,0
7365,'2023/06/12 23:32:16:360',11,0,0,0,0,0,0,1,0,0,0
7366,'2023/06/12 23:32:16:383',11,0,0,0,0,0,0,1,0,0,0
7367,'2023/06/12 23:32:16:395',11,0,0,0,0,0,0,1,0,0,0
7368,'2023/06/12 23:32:16:407',11,0,0,0,0,0,0,1,0,0,0
7369,'2023/06/12 23:32:16:429',11,0,0,0,0,0,0,1,0,0,0
7370,'2023/06/12 23:32:16:441',11,0,0,0,0,0,0,1,0,0,0
7371,'2023/06/12 23:32:16:464',11,0,0,0,0,0,0,1,0,0,0
7372,'2023/06/12 23:32:16:476',11,0,0,0,0,0,0,1,0,0,0
7373,'2023/06/12 23:32:16:488',11,0,0,0,0,0,0,1,0,0,0
7374,'2023/06/12 23:32:16:511',11,0,0,0,0,0,0,1,0,0,0
7375,'2023/06/12 23:32:16:522',11,0,0,0,0,0,0,1,0,0,0
7376,'2023/06/12 23:32:16:534',11,0,0,0,0,0,0,1,0,0,0
7377,'2023/06/12 23:32:16:557',11,0,0,0,0,0,0,1,0,0,0
7378,'2023/06/12 23:32:16:569',11,0,0,0,0,0,0,1,0,0,0
7379,'2023/06/12 23:32:16:580',11,0,0,0,0,0,0,1,0,0,0
7380,'2023/06/12 23:32:16:604',11,0,0,0,0,0,0,1,0,0,0
7381,'2023/06/12 23:32:16:615',11,0,0,0,0,0,0,1,0,0,0
7382,'2023/06/12 23:32:16:627',11,0,0,0,0,0,0,1,0,0,0
7383,'2023/06/12 23:32:16:650',11,0,0,0,0,0,0,1,0,0,0
7384,'2023/06/12 23:32:16:662',11,0,0,0,0,0,0,1,0,0,0
7385,'2023/06/12 23:32:16:674',11,0,0,0,0,0,0,1,0,0,0
7386,'2023/06/12 23:32:16:696',11,0,0,0,0,0,0,1,0,0,0
7387,'2023/06/12 23:32:16:708',11,0,0,0,0,0,0,1,0,0,0
7388,'2023/06/12 23:32:16:720',11,0,0,0,0,0,0,1,0,0,0
7389,'2023/06/12 23:32:16:743',11,0,0,0,0,0,0,1,0,0,0
7390,'2023/06/12 23:32:16:754',11,0,0,0,0,0,0,1,0,0,0
7391,'2023/06/12 23:32:16:766',11,0,0,0,0,0,0,1,0,0,0
7392,'2023/06/12 23:32:16:790',11,0,0,0,0,0,0,1,0,0,0
7393,'2023/06/12 23:32:16:801',11,0,0,0,0,0,0,1,0,0,0
7394,'2023/06/12 23:32:16:813',11,0,0,0,0,0,0,1,0,0,0
7395,'2023/06/12 23:32:16:836',11,0,0,0,0,0,0,1,0,0,0
7396,'2023/06/12 23:32:16:847',11,0,0,0,0,0,0,1,0,0,0
7397,'2023/06/12 23:32:16:871',11,0,0,0,0,0,0,1,0,0,0
7398,'2023/06/12 23:32:16:882',11,0,0,0,0,0,0,1,0,0,0
7399,'2023/06/12 23:32:16:894',11,0,0,0,0,0,0,1,0,0,0
7400,'2023/06/12 23:32:16:917',11,0,0,0,0,0,0,1,0,0,0
7401,'2023/06/12 23:32:16:929',11,0,0,0,0,0,0,1,0,0,0
7402,'2023/06/12 23:32:16:941',11,0,0,0,0,0,0,1,0,0,0
7403,'2023/06/12 23:32:16:964',11,0,0,0,0,0,0,1,0,0,0
7404,'2023/06/12 23:32:16:975',11,0,0,0,0,0,0,1,0,0,0
7405,'2023/06/12 23:32:16:987',11,0,0,0,0,0,0,1,0,0,0
7406,'2023/06/12 23:32:17:010',11,0,0,0,0,0,0,1,0,0,0
7407,'2023/06/12 23:32:17:021',11,0,0,0,0,0,0,1,0,0,0
7408,'2023/06/12 23:32:17:033',11,0,0,0,0,0,0,1,0,0,0
7409,'2023/06/12 23:32:17:056',11,0,0,0,0,0,0,1,0,0,0
7410,'2023/06/12 23:32:17:068',11,0,0,0,0,0,0,1,0,0,0
7411,'2023/06/12 23:32:17:079',11,0,0,0,0,0,0,1,0,0,0
7412,'2023/06/12 23:32:17:104',11,0,0,0,0,0,0,1,0,0,0
7413,'2023/06/12 23:32:17:115',11,0,0,0,0,0,0,1,0,0,0
7414,'2023/06/12 23:32:17:126',11,0,0,0,0,0,0,1,0,0,0
7415,'2023/06/12 23:32:17:149',11,0,0,0,0,0,0,1,0,0,0
7416,'2023/06/12 23:32:17:161',11,0,0,0,0,0,0,1,0,0,0
7417,'2023/06/12 23:32:17:173',11,0,0,0,0,0,0,1,0,0,0
7418,'2023/06/12 23:32:17:196',11,0,0,0,0,0,0,1,0,0,0
