@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
128,'2023/06/13 10:16:21:305',3,0,0,0,0,0,0,0,0,0
129,'2023/06/13 10:16:21:331',3,0,0,0,0,0,0,0,0,0
130,'2023/06/13 10:16:21:350',3,0,0,0,0,0,0,0,0,0
131,'2023/06/13 10:16:21:375',3,0,0,0,0,0,0,0,0,0
132,'2023/06/13 10:16:21:399',3,0,0,0,0,0,0,0,0,0
133,'2023/06/13 10:16:21:423',3,0,0,0,0,0,0,0,0,0
134,'2023/06/13 10:16:21:444',3,0,0,0,0,0,0,0,0,0
135,'2023/06/13 10:16:21:466',3,0,0,0,0,0.01,0,0,0,0
136,'2023/06/13 10:16:21:489',3,0,0,0,0,0.03,0,0,0,0
137,'2023/06/13 10:16:21:512',3,0,0,0,0,0.06,0,0,0,0
138,'2023/06/13 10:16:21:536',3,0,0,0,0,0.21,0,0,0,0
139,'2023/06/13 10:16:21:562',3,0,0,0,0,0.37,0,0,0,0
140,'2023/06/13 10:16:21:586',3,0,0,0,0,0.62,0,0,0,0
141,'2023/06/13 10:16:21:605',3,0,0,0,0,0.8,0,0,0,0
142,'2023/06/13 10:16:21:628',3,0,0,0,0,1,0,0,0,0
143,'2023/06/13 10:16:21:654',3,0,0,0,0,1,0,0,0,0
144,'2023/06/13 10:16:21:680',3,0,0,0,0,1,0,0,0,0
145,'2023/06/13 10:16:21:697',3,0,0,0,0,1,0,0,0,0
146,'2023/06/13 10:16:21:722',3,0,0,0,0,1,0,0,0,0
147,'2023/06/13 10:16:21:747',3,0,0,0,0,1,0,0,0,0
148,'2023/06/13 10:16:21:771',3,0,0,0,0,1,0,0,0,0
149,'2023/06/13 10:16:21:797',3,0,0,0,0,1,0,0,0,0
150,'2023/06/13 10:16:21:817',3,0,0,0,0,1,0,0,0,0
151,'2023/06/13 10:16:21:843',3,0,0,0,0,1,0,0,0,0
152,'2023/06/13 10:16:21:863',3,0,0,0,0,1,0,0,0,0
153,'2023/06/13 10:16:21:883',3,0,0,0,0,1,0,0,0,0
154,'2023/06/13 10:16:21:909',3,0,0,0,0,1,0,0,0,0
155,'2023/06/13 10:16:21:932',3,553.324768,871.621033,553.324768,871.621033,1,0,0,0,0
156,'2023/06/13 10:16:21:959',3,638.796082,840.588745,638.796082,840.588745,1,0,0,0,0
157,'2023/06/13 10:16:21:979',3,0,0,0,0,1,0,0,0,0
158,'2023/06/13 10:16:22:004',3,0,0,0,0,1,0,0,0,0
159,'2023/06/13 10:16:22:024',3,0,0,0,0,1,0,0,0,0
160,'2023/06/13 10:16:22:048',3,0,0,0,0,1,0,0,0,0
161,'2023/06/13 10:16:22:071',3,586.027832,775.069275,586.027832,775.069275,1,0,0,0,0
162,'2023/06/13 10:16:22:096',3,0,0,0,0,1,0,0,0,0
163,'2023/06/13 10:16:22:115',3,0,0,0,0,1,0,0,0,0
164,'2023/06/13 10:16:22:141',3,0,0,0,0,1,0,0,0,0
165,'2023/06/13 10:16:22:168',3,525.571045,801.465576,525.571045,801.465576,1,0,0,0,0
166,'2023/06/13 10:16:22:189',3,420.335724,811.098572,420.335724,811.098572,1,0,0,0,0
167,'2023/06/13 10:16:22:214',3,0,0,0,0,1,0,0,0,0
168,'2023/06/13 10:16:22:234',3,510.904175,884.017212,510.904175,884.017212,1,0,0,0,0
169,'2023/06/13 10:16:22:261',3,0,0,0,0,1,0,0,0,0
170,'2023/06/13 10:16:22:280',3,0,0,0,0,1,0,0,0,0
171,'2023/06/13 10:16:22:306',3,0,0,0,0,1,0,0,0,0
172,'2023/06/13 10:16:22:324',3,0,0,0,0,1,0,0,0,0
173,'2023/06/13 10:16:22:349',3,0,0,0,0,1,0,0,0,0
174,'2023/06/13 10:16:22:375',3,0,0,0,0,1,0,0,0,0
175,'2023/06/13 10:16:22:395',3,0,0,0,0,1,0,0,0,0
176,'2023/06/13 10:16:22:419',3,0,0,0,0,1,0,0,0,0
177,'2023/06/13 10:16:22:446',3,504.267975,830.41864,504.267975,830.41864,1,0,0,0,0
178,'2023/06/13 10:16:22:465',3,0,0,0,0,1,0,0,0,0
179,'2023/06/13 10:16:22:490',3,0,0,0,0,1,0,0,0,0
180,'2023/06/13 10:16:22:514',3,0,0,0,0,1,0,0,0,0
181,'2023/06/13 10:16:22:535',3,0,0,0,0,1,0,0,0,0
182,'2023/06/13 10:16:22:562',3,0,0,0,0,1,0,0,0,0
183,'2023/06/13 10:16:22:583',3,0,0,0,0,1,0,0,0,0
184,'2023/06/13 10:16:22:609',3,0,0,0,0,1,0,0,0,0
185,'2023/06/13 10:16:22:628',3,0,0,0,0,1,0,0,0,0
186,'2023/06/13 10:16:22:654',3,0,0,0,0,1,0,0,0,0
187,'2023/06/13 10:16:22:677',3,378.595123,879.520691,378.595123,879.520691,1,0,0,0,0
188,'2023/06/13 10:16:22:702',3,0,0,0,0,1,0,0,0,0
189,'2023/06/13 10:16:22:722',3,0,0,0,0,1,0,0,0,0
190,'2023/06/13 10:16:22:743',3,0,0,0,0,1,0,0,0,0
191,'2023/06/13 10:16:22:768',3,0,0,0,0,1,0,0,0,0
192,'2023/06/13 10:16:22:795',3,0,0,0,0,1,0,0,0,0
193,'2023/06/13 10:16:22:815',3,0,0,0,0,1,0,0,0,0
194,'2023/06/13 10:16:22:835',3,0,0,0,0,1,0,0,0,0
195,'2023/06/13 10:16:22:862',3,0,0,0,0,1,0,0,0,0
196,'2023/06/13 10:16:22:882',3,0,0,0,0,1,0,0,0,0
197,'2023/06/13 10:16:22:908',3,0,0,0,0,1,0,0,0,0
198,'2023/06/13 10:16:22:932',3,0,0,0,0,1,0,0,0,0
199,'2023/06/13 10:16:22:952',3,0,0,0,0,1,0,0,0,0
200,'2023/06/13 10:16:22:979',3,0,0,0,0,1,0,0,0,0
201,'2023/06/13 10:16:22:998',3,0,0,0,0,1,0,0,0,0
202,'2023/06/13 10:16:23:024',3,0,0,0,0,1,0,0,0,0
203,'2023/06/13 10:16:23:050',3,0,0,0,0,1,0,0,0,0
204,'2023/06/13 10:16:23:071',3,0,0,0,0,1,0,0,0,0
205,'2023/06/13 10:16:23:091',3,0,0,0,0,1,0,0,0,0
206,'2023/06/13 10:16:23:116',3,551.538208,646.819885,551.538208,646.819885,1,0,0,0,0
207,'2023/06/13 10:16:23:144',3,424.64267,826.302979,424.64267,826.302979,1,0,0,0,0
208,'2023/06/13 10:16:23:164',3,0,0,0,0,1,0,0,0,0
209,'2023/06/13 10:16:23:183',3,0,0,0,0,1,0,0,0,0
210,'2023/06/13 10:16:23:207',3,0,0,0,0,1,0,0,0,0
211,'2023/06/13 10:16:23:231',3,0,0,0,0,0.75,0,0,0,0
212,'2023/06/13 10:16:23:254',3,0,0,0,0,0.51,0,0,0,0
